PROFILE PIC,NAME,POSITIONS,ACTIVITY,WHY,WHAT
nick.jpg,"Ding Nick Hong (Nick)","
STC President

Freelance
Web/Mobile
Developer

Software
Engineering
(2nd Year)",OBS: Open Broadcaster Software,"start streaming quickly and easily 
on Windows, Mac or Linux","How to use OBS for your 
next streaming and recording."
pupu.jpg,"Chai Chang Cheng (Pupu)","STC Head
of Marketing

Software
Developer
at Map72

AWS Student
Ambassador

Computer
Science
(1st Year)",CodeceptJS,"Supercharged
End 2 End Testing","Make your web automation 
experience to the next level"
